date,status,rows,bytes,sha256,fetched_at_utc
2026-09-01,stored,8242,2890459,471e82426a16adfa384543aabfa5fdfd8d105178790ae09ffc8adddd3431db28,
2026-09-03,stored,8265,2897515,6d614e0952701d64d159039ad7709eecb6d660f6b049494c17900547725ebece,2026-09-03T01:47:13Z
2026-09-04,stored,8251,2889256,587e58dabd3738bdee52056ecbdb0672ed81718fcbe63860aff277dfe5611064,2026-09-04T02:41:00Z
2026-09-05,stored,8289,2904484,b92a39c72c10532e0c5651d894fdb990ca7ee7eaf89eb59f7087e7ae275b150f,2026-09-05T02:42:23Z
2026-09-06,stored,8288,2902867,b899b5feaf2382bcb435e8a1940ae167457c16c146c68f6df1913a046a0190a8,2026-09-06T02:39:45Z
2026-09-07,stored,8275,2897640,99934a1dcb1b569f6f769e7117d24563d24849577b9e3222b9e309fc6a72e5e5,2026-09-07T02:37:35Z
2026-09-08,stored,8360,2923012,79bac802bf55eba604224f1f8cb7d588cb2ed179aa939cae6f02cfe42f66fb69,2026-09-08T02:50:25Z
2026-09-09,stored,8369,2926815,aab8222efbb1669cb608aef508a9d9905f229a3a94f8f5386d3a933fe011aa7c,2026-09-09T02:49:47Z
2026-09-10,stored,8424,2945196,bf828c10cfbe20fb80541d319a2308f7ebbbaadbc14f74468756fb9c096a8f0d,2026-09-10T02:51:16Z
2026-09-11,stored,8332,2911695,d7ea478f08216d4cd94e2707117caa7de03eec002003b6ce8a292389f925ecd6,2026-09-11T02:45:01Z
2026-09-12,stored,8355,2922271,4782db8c9f2355e587035f0cb93a15198406f0b6fe9949476a9053fac23ea4cc,2026-09-12T02:54:25Z
2026-09-13,stored,8345,2918989,0a14116c08a9b4b767dc8ffbb7a3107452c31c8fd22c9a939205e9dc6b53ecd5,2026-09-13T02:53:09Z
2026-09-14,stored,8343,2917463,f6054c1da1651b26f53bb0d731440c87712a6b8586cc5286de0d6eb289ecebe8,2026-09-14T03:07:03Z
2026-09-15,stored,8374,2927122,338e7adb4a3802575b121ceb822ca441d0c3818aa0b816af2432de07a69a935f,2026-09-15T03:09:36Z
2026-09-16,stored,8336,2915189,529a0c734c1f451e26f31b4e5ba39191641a38544853271de3aa3d93a9f31d95,2026-09-16T03:06:13Z
2026-09-17,stored,8354,2922243,6ce9ea7d8cd883f8eaaa514ad82b2ea0bca8490cc1cd5e6d1e1d94d04d0984c5,2026-09-17T03:09:56Z
2026-09-18,stored,8333,2914886,0e47cd456caedea36e979109fcd62806534e3161408072f9dec23596fe48067e,2026-09-18T02:57:03Z
